comuMerged,units,Prior Round Obligations (1987-1999),Present Need (2015),Gap Present Need (2015),Prospective Need (2015-2025),Total,Prospective + Gap Present
2016,199,182,89,183,253,707,436
2017,262,135,0,173,145,453,318
2018,255,171,149,365,375,1060,740
2019,862,233,357,297,204,1091,501
2020,231,139,66,321,434,960,755
2021,107,0,18,7,1,26,8
2101,54,13,53,29,56,151,85
2102,24,13,13,21,18,65,39
2103,72,0,6,4,30,40,34
2104,59,12,0,34,41,87,75
2105,19,11,0,38,105,154,143
2106,22,6,0,32,89,127,121
2107,77,41,0,72,227,340,299
2108,187,62,131,64,62,319,126
2109,19,6,2,28,27,63,55
2110,9,47,0,58,141,246,199
2111,0,8,3,24,27,62,51
2112,4,10,0,29,34,73,63
2113,14,14,10,25,27,76,52
2114,18,7,0,26,45,78,71
2115,138,56,0,48,47,151,95
2116,44,3,20,43,99,165,142
2117,13,2,25,29,95,151,124
2119,1031,0,177,0,0,177,0
2120,24,47,8,34,66,155,100
2121,135,0,9,15,27,51,42
2122,46,48,7,45,153,253,198
2123,16,16,59,4,295,374,299
